Timestamp, X_Position, Y_Position, Z_Position, Q0_Rotation, Q1_Rotation, Q2_Rotation, Q3_Rotation, X_Velocity, Y_Velocity, Z_Velocity, X_Accel, Y_Accel, Z_Accel, Trigger, Grip
36278,0.03747061,1.106323,0.5404443,-0.4295354,-0.006251732,-0.02628351,0.9026458,0.01253283,-0.01780139,-0.0001004558,0,0,0,False,True
36307,0.03795081,1.105613,0.5446647,-0.4292566,-0.005598275,-0.02757641,0.9027441,0.0200511,-0.01919117,0.005908498,0,0,0,False,True
36336,0.03866035,1.105205,0.5439168,-0.429941,-0.005130086,-0.02934024,0.9023656,0.01842577,-0.01438257,-0.0009648671,0,0,0,False,True
36364,0.03896527,1.104872,0.5436366,-0.4305914,-0.005476641,-0.03149594,0.9019806,0.01179387,-0.01032951,-0.000434735,0,0,0,False,True
36393,0.03882753,1.104913,0.5433939,-0.4305952,-0.005534557,-0.03129288,0.9019855,0.0001456335,-0.005442322,0.003281352,0,0,0,False,True
36420,0.03845399,1.104869,0.5433105,-0.4302605,-0.006648082,-0.03086954,0.9021523,-0.01587176,-0.002024661,0.007233785,0,0,0,False,True
36446,0.03805138,1.104908,0.5430272,-0.4302509,-0.006946567,-0.02970194,0.9021938,-0.01672344,0.001750594,0.003815977,0,0,0,False,True
36475,0.03787737,1.104935,0.5427184,-0.4304514,-0.006658914,-0.02975546,0.9020987,-0.008615639,0.002360688,0.0008803903,0,0,0,False,True
36502,0.03745803,1.10491,0.5427551,-0.4308047,-0.006613994,-0.0305234,0.9019046,-0.01199551,-6.64785E-05,0.0008057676,0,0,0,False,True
36530,0.03690461,1.104863,0.542855,-0.4308871,-0.006938623,-0.03051089,0.9018632,-0.0225225,-0.002460047,0.007085975,0,0,0,False,True
36560,0.03607192,1.104874,0.5431306,-0.4306048,-0.007704061,-0.03025417,0.9020005,-0.02822823,-0.0001447807,0.01009906,0,0,0,False,True
36587,0.0348378,1.10507,0.543303,-0.4309692,-0.008576517,-0.02851374,0.9018753,-0.0324523,0.004813916,0.005382745,0,0,0,False,True
36616,0.03457185,1.105079,0.54339,-0.4308608,-0.008608476,-0.02883818,0.9019164,-0.02424383,0.001649879,0.009229172,0,0,0,False,True
36643,0.03385569,1.10502,0.5436823,-0.4309308,-0.009408469,-0.02987764,0.9018412,-0.02018024,-0.00179809,0.01081884,0,0,0,False,True
36669,0.03350863,1.105001,0.5437651,-0.4307595,-0.009674339,-0.02933412,0.901938,-0.02084849,-0.002614888,0.009454521,0,0,0,False,True
36697,0.03318892,1.104932,0.543888,-0.4304832,-0.01028194,-0.02919889,0.9020677,-0.01394923,-0.00275725,0.008618499,0,0,0,False,True
36725,0.03296883,1.104997,0.5439191,-0.4300533,-0.01070638,-0.02838286,0.9022937,-0.01016554,0.001529405,0.004081876,0,0,0,False,True
36754,0.03293834,1.105085,0.5435778,-0.4305535,-0.01025325,-0.02765041,0.9020832,0.001351918,0.00296321,-0.00644981,0,0,0,False,True
36782,0.0332164,1.105015,0.5431761,-0.4309801,-0.009547737,-0.0284365,0.9018627,0.01215229,-0.001265534,-0.007645069,0,0,0,False,True
36810,0.03351773,1.104843,0.5428025,-0.4317935,-0.009667598,-0.02995018,0.9014233,0.01170793,-0.002461324,-0.009297734,0,0,0,False,True
36835,0.03347135,1.104803,0.5426579,-0.4318118,-0.009722747,-0.02961786,0.9014249,0.003703887,-0.002484357,-0.007976194,0,0,0,False,True
